# A second sweep of familiar vocabulary, this time including common abstract nouns.
ability | noun | The power or skill to do something.
aboard | adverb | On or into a ship, train or aircraft.
abroad | adverb | In or to a foreign country.
absence | noun | The state of being away.
absent | adjective | Not present.
absolute | adjective | Complete and without limit.
absorb | verb | To soak up; to take in fully.
abundance | noun | A very large quantity.
accent | noun | A way of pronouncing typical of a region; stress on a syllable.
accept | verb | To agree to receive or take.
access | noun | The right or means of entering.
accident | noun | An unexpected event causing damage or injury.
account | noun | A record of money; a description of events.
accuracy | noun | Freedom from error.
accurate | adjective | Correct in every detail.
accuse | verb | To charge someone with a fault or crime.
achieve | verb | To succeed in doing something.
acquire | verb | To come to have something.
action | noun | The doing of something; a deed.
active | adjective | Busy and energetic; in operation.
activity | noun | Something done; the state of being busy.
actual | adjective | Existing in fact.
addition | noun | The act of adding; something added.
address | noun | The details of where someone lives; a formal speech.
adequate | adjective | Enough for the purpose.
adjective | noun | A word describing a noun.
admission | noun | Entry to a place; a confession.
adopt | verb | To take a child into one's family; to take up a practice.
adverb | noun | A word that modifies a verb or adjective.
advance | verb | To move forward; to lend money ahead of time.
advantage | noun | A condition giving a better chance of success.
adventure | noun | An exciting or risky undertaking.
advertise | verb | To make known publicly to encourage sales.
afraid | adjective | Frightened.
afternoon | noun | The time between noon and evening.
afterward | adverb | At a later time.
again | adverb | Once more.
agency | noun | A business acting for others; the power to act.
aggressive | adjective | Ready to attack or confront.
agreement | noun | An arrangement accepted by all sides.
ahead | adverb | In front; in advance.
aircraft | noun | A machine that flies.
airlift | noun | The transport of supplies by air.
aisle | noun | A passage between rows of seats.
alcohol | noun | The intoxicating substance in beer, wine and spirits.
algebra | noun | The branch of mathematics using letters for numbers.
alike | adjective | Similar to one another.
alongside | preposition | Close to the side of.
alphabet | noun | The letters of a language in their fixed order.
already | adverb | Before now or before a given time.
alternate | verb | To take turns one after the other.
although | conjunction | In spite of the fact that.
altitude | noun | Height above sea level.
amateur | noun | A person who does something for love, not payment.
amazement | noun | Great surprise.
amazing | adjective | Causing great surprise or wonder.
ambition | noun | A strong desire to achieve something.
amount | noun | A quantity of something.
amusement | noun | The feeling of being entertained.
ancestor | noun | A person from whom one is descended.
ancient | adjective | Belonging to the distant past.
