ice | noun | Frozen water.
idea | noun | A thought or plan formed in the mind.
ideal | adjective | Perfect of its kind.
idle | adjective | Not working or in use.
ill | adjective | Not in good health.
image | noun | A picture or likeness; a reputation.
inch | noun | A unit of length, a twelfth of a foot.
index | noun | An alphabetical list at the back of a book; a measure.
ink | noun | Coloured liquid used for writing and printing.
inn | noun | A small hotel serving food and drink.
inner | adjective | Situated inside.
iodine | noun | A dark element used as an antiseptic.
issue | noun | A matter in dispute; one number of a magazine.
item | noun | A single article in a list or collection.
jail | noun | A place where people are locked up.
jam | noun | A sweet spread of boiled fruit; a blockage.
jar | noun | A wide-mouthed glass container.
jaw | noun | Either of the bones framing the mouth.
jet | noun | A stream of liquid or gas; an aircraft with jet engines.
jewel | noun | A precious stone.
job | noun | Paid work; a task.
join | verb | To link together; to become a member.
joint | noun | A place where two parts meet; a cut of meat.
joke | noun | Something said to cause laughter.
judge | noun | An official who decides cases in court.
jug | noun | A container with a handle and lip for pouring.
juice | noun | The liquid from fruit or vegetables.
jump | verb | To push off the ground into the air.
jury | noun | A group sworn to give a verdict in a trial.
keen | adjective | Eager; sharp in edge or mind.
keep | verb | To retain possession of; to continue.
key | noun | A shaped metal piece for opening a lock; a button.
kick | verb | To strike with the foot.
kid | noun | A child; a young goat.
kill | verb | To cause the death of.
kind | adjective | Considerate and generous.
king | noun | A male monarch.
kiss | verb | To touch with the lips in affection.
kit | noun | A set of tools or parts for a task.
knee | noun | The joint between the thigh and lower leg.
knife | noun | A tool with a blade for cutting.
knit | verb | To make fabric by looping yarn with needles.
knob | noun | A rounded handle or control.
knock | verb | To strike a surface to make a noise.
knot | noun | A fastening made by tying; a hard lump in wood.
know | verb | To have information or understanding.
label | noun | A slip attached to something giving information.
labor | noun | Work, especially hard physical work; childbirth.
lace | noun | A delicate openwork fabric; a cord for shoes.
lack | noun | The absence of something needed.
lady | noun | A woman, especially one of good manners or rank.
lair | noun | The resting place of a wild animal.
lake | noun | A large body of water surrounded by land.
lamb | noun | A young sheep.
lamp | noun | A device giving light.
land | noun | The solid part of the earth's surface; a country.
lane | noun | A narrow road; a division of a carriageway.
large | adjective | Of considerable size.
last | adjective | Coming after all others; most recent.
late | adjective | After the expected time; recently dead.
law | noun | A rule made by a government; a principle of science.
lawn | noun | An area of mown grass.
layer | noun | A sheet of material lying over another.
lazy | adjective | Unwilling to work.
lead | verb | To go in front and guide; a heavy soft metal.
leaf | noun | A flat green part of a plant; a page.
leak | noun | An unintended escape of liquid or information.
