poem | noun | A piece of writing in verse.
poet | noun | A writer of poems.
point | noun | A sharp end; a particular place or moment; a mark of score.
polar | adjective | Of or near the North or South Pole.
pole | noun | A long slender rod; either end of the earth's axis.
pond | noun | A small area of still water.
pony | noun | A horse of a small breed.
pool | noun | A small body of still water; a shared fund.
poor | adjective | Having little money; of low quality.
porch | noun | A covered shelter at the entrance of a building.
pork | noun | The meat of a pig.
port | noun | A harbour town; the left side of a ship; a sweet wine.
pose | verb | To hold a position for a picture; to present a question.
post | noun | An upright support; the mail; a job.
pot | noun | A rounded container for cooking or plants.
pound | noun | A unit of weight; the British unit of money.
pour | verb | To make a liquid flow from a container.
power | noun | The ability to act or control; energy supplied.
pray | verb | To speak to a god in worship or request.
press | verb | To push steadily; the newspapers as a group.
prey | noun | An animal hunted by another.
price | noun | The amount of money asked for something.
pride | noun | Satisfaction in one's achievements; excessive self-regard.
prime | adjective | Of the first importance or best quality.
print | verb | To produce text or pictures on paper by machine.
prism | noun | A glass solid that splits light into colours.
prize | noun | A reward for winning.
proof | noun | Evidence that establishes a fact.
proud | adjective | Feeling pride; having self-respect.
prove | verb | To show that something is true.
pub | noun | A house licensed to sell beer and other drinks.
puff | noun | A short burst of breath, wind or smoke.
pull | verb | To draw something towards oneself.
pulse | noun | The beating of blood in the arteries; a regular throb.
pump | noun | A machine that moves liquid or air.
pupil | noun | A person being taught; the dark centre of the eye.
puppy | noun | A young dog.
pure | adjective | Free from anything that spoils or dilutes.
purse | noun | A small bag for money.
push | verb | To press so as to move something away.
queen | noun | A female monarch, or a king's wife.
queue | noun | A line of people waiting their turn.
quick | adjective | Moving or happening fast.
quiet | adjective | Making little or no noise.
quit | verb | To stop or leave something.
quiver | verb | To tremble slightly; a case for arrows.
quiz | noun | A test of knowledge, often for fun.
race | noun | A contest of speed; a group of people with shared descent.
rack | noun | A framework for holding things.
raft | noun | A flat floating structure of logs or planks.
rag | noun | A piece of old cloth.
rage | noun | Violent uncontrollable anger.
raid | noun | A sudden attack or search.
rail | noun | A bar of metal or wood; a railway.
rain | noun | Water falling in drops from clouds.
raise | verb | To lift up; to bring up children.
rake | noun | A toothed tool for gathering leaves.
rally | noun | A large public meeting; a recovery after decline.
range | noun | The extent between limits; a line of mountains; a cooking stove.
