table | noun | A piece of furniture with a flat top on legs.
tail | noun | The hindmost part of an animal.
take | verb | To lay hold of; to carry with one.
tale | noun | A story.
talk | verb | To speak to someone.
tall | adjective | Of more than average height.
tame | adjective | Made gentle and no longer wild.
tank | noun | A large container for liquid; an armoured vehicle.
tap | noun | A valve controlling the flow of liquid; a light knock.
tape | noun | A narrow strip of material, often sticky.
tart | noun | An open pastry case with a filling; sharp in taste.
task | noun | A piece of work to be done.
taste | noun | The flavour of something; judgement in style.
tasty | adjective | Pleasant to eat.
taxi | noun | A car hired with a driver.
tea | noun | A drink made by infusing dried leaves.
teach | verb | To help someone learn.
team | noun | A group playing or working together.
tear | noun | A drop of liquid from the eye; to pull apart.
tease | verb | To make fun of someone playfully.
teeth | noun | The hard white parts in the mouth used for biting.
tell | verb | To give information to someone in words.
tempo | noun | The speed at which music is played.
ten | noun | The number after nine.
tend | verb | To be inclined to; to look after.
tense | adjective | Stretched tight; nervous.
tenth | adjective | Next after the ninth.
term | noun | A word for a thing; a fixed period.
test | noun | An examination of ability or quality.
text | noun | Written words; a message sent by phone.
thank | verb | To express gratitude.
theme | noun | The subject running through a work.
thick | adjective | Of great depth between opposite surfaces; dense.
thin | adjective | Having little depth; not fat.
thing | noun | An object or matter of any kind.
think | verb | To use the mind to form ideas.
third | adjective | Next after the second.
thorn | noun | A sharp point growing on a plant.
three | noun | The number after two.
throw | verb | To send through the air with the hand.
thud | noun | A dull heavy sound.
thumb | noun | The short thick digit of the hand.
thump | verb | To strike heavily.
tick | noun | A light repeated click; a small blood-sucking creature.
tidal | adjective | Of or caused by the tides.
tide | noun | The regular rise and fall of the sea.
tidy | adjective | Arranged neatly.
tiger | noun | A large striped wild cat of Asia.
tight | adjective | Firmly fixed; fitting closely.
tile | noun | A thin slab used to cover roofs, floors or walls.
tilt | verb | To move into a sloping position.
time | noun | The passing of hours and years; a particular point in it.
timid | adjective | Lacking courage or confidence.
tingle | verb | To feel a slight prickling sensation.
tiny | adjective | Very small.
tip | noun | The pointed end; a small gift of money; a useful hint.
tire | verb | To become weary; a rubber ring on a wheel.
title | noun | The name of a book or work; a rank of honour.
toast | noun | Bread browned by heat; a call to drink in honour.
today | noun | This present day.
toe | noun | One of the five digits of the foot.
toll | noun | A charge for using a road or bridge; the sound of a bell.
ton | noun | A unit of weight of 2240 pounds.
tone | noun | The quality of a sound or colour; a manner of speaking.
tool | noun | An implement used to carry out work.
tooth | noun | One of the hard parts in the mouth used for chewing.
topic | noun | A subject of discussion.
torch | noun | A burning stick carried as a light; a hand lamp.
toss | verb | To throw lightly.
total | noun | The whole amount.
touch | verb | To put the hand on something; to affect emotionally.
tough | adjective | Strong and hard to break; difficult.
tour | noun | A journey visiting several places.
towel | noun | A cloth for drying.
tower | noun | A tall narrow building or part of one.
town | noun | A settlement larger than a village.
toy | noun | An object for a child to play with.
trace | noun | A mark left behind; a very small amount.
track | noun | A rough path; a railway line; a recorded song.
trade | noun | The buying and selling of goods; a skilled occupation.
trail | noun | A track left by a person or animal; a path.
train | noun | Carriages pulled by a locomotive; to teach a skill.
trap | noun | A device for catching animals; a trick.
tray | noun | A flat board with a rim for carrying things.
treat | verb | To behave towards; to give medical care; a special pleasure.
