# Nautical, military, medieval, and travel
# word | part of speech | definition
admiral | noun | The commander of a fleet or naval squadron.
aircraftman | noun | The lowest rank in the Royal Air Force.
airstrip | noun | A strip of ground for aircraft to take off and land.
anchor | noun | A heavy object used to moor a ship to the sea bottom.
archer | noun | A person who shoots with a bow and arrows.
armada | noun | A fleet of warships.
arquebus | noun | An early type of portable gun supported on a tripod or forked rest.
arsenal | noun | A collection of weapons; a place where weapons are made or stored.
astronaut | noun | A person trained to travel in a spacecraft.
atoll | noun | A ring-shaped reef, island, or chain of islands formed of coral.
balustrade | noun | A railing supported by balusters.
barbican | noun | A double tower above a gate or drawbridge of a castle.
barque | noun | A sailing ship with three or more masts.
battleship | noun | A heavy warship with extensive armor and large-caliber guns.
bazooka | noun | A short-range tubular rocket launcher.
bivouac | noun | A temporary camp without tents or cover.
blitzkrieg | noun | An intense military campaign intended to bring about a swift victory.
blockade | noun | An act of sealing off a place to prevent goods or people from entering.
boatswain | noun | A ship's officer in charge of equipment and crew.
bombardier | noun | A member of a bomber crew responsible for aiming bombs.
bowsprit | noun | A spar running out from a ship's bow.
brigantine | noun | A two-masted sailing ship.
broadsword | noun | A sword with a wide blade for cutting rather than thrusting.
bulwark | noun | A defensive wall; the extension of a ship's sides above deck.
bunker | noun | A reinforced underground shelter; a container for fuel.
caravel | noun | A small, fast Spanish or Portuguese ship of the 15th–17th centuries.
castaway | noun | A person who has been shipwrecked and stranded.
cavalry | noun | Soldiers who fought on horseback.
chainmail | noun | Armor made of small metal rings linked together.
chariot | noun | A two-wheeled horse-drawn vehicle used in ancient warfare and racing.
commodore | noun | A naval officer ranking above a captain.
conquistador | noun | A conqueror, especially a Spanish conqueror of Mexico or Peru.
corsair | noun | A pirate, especially of the Barbary Coast.
crossbow | noun | A mechanical bow fixed across a wooden support.
cutthroat | noun | A murderer or other violent criminal.
dinghy | noun | A small boat for recreation or racing, or carried on a larger ship.
doubloon | noun | A Spanish gold coin.
drawbridge | noun | A bridge that is hinged at one end so it may be raised.
dreadnought | noun | A type of battleship introduced in the early 20th century.
dungeon | noun | A strong underground prison cell, especially in a castle.
embarkation | noun | The process of boarding a ship or aircraft.
flagship | noun | The ship carrying the commander of a fleet; the best of a group.
flintlock | noun | An old-fashioned type of gun fired by a spark from a flint.
flotilla | noun | A small fleet of ships or boats.
frigate | noun | A warship with a mixed armament.
galleon | noun | A large sailing ship with three or more decks and masts.
galley | noun | A low, flat ship with sails and oars; a ship's kitchen.
gangplank | noun | A movable plank used as a ramp for boarding a boat.
garrison | noun | A body of troops stationed in a fortress or town.
gauntlet | noun | A stout glove with a long loose wrist; a challenge.
gladiator | noun | A man trained to fight in ancient Roman arenas.
grapeshot | noun | Ammunition of small iron balls fired together from a cannon.
grenade | noun | A small bomb thrown by hand.
halberd | noun | A combined spear and battle-axe.
hammock | noun | A bed of canvas or rope netting suspended at both ends.
harpoon | noun | A barbed spearlike missile used for catching whales.
helmsman | noun | A person who steers a ship or boat.
jousting | noun | Combat on horseback between two knights with lances.
junk | noun | Old or discarded articles; a flat-bottomed Chinese sailing vessel.
kamikaze | noun | A Japanese aircraft deliberately crashed onto a target in World War II.
katana | noun | A long curved single-edged Japanese sword.
keelhaul | verb | To punish by dragging someone through the water under a ship's keel.
knight | noun | A man awarded a nonhereditary title by a sovereign; a mounted medieval soldier.
lance | noun | A long weapon for thrusting, used by a horseman.
landlubber | noun | A person unfamiliar with the sea or sailing.
larboard | noun | The port side of a ship (archaic).
longbow | noun | A large bow drawn by hand.
longship | noun | A long, narrow warship with oars and a sail, used by the Vikings.
mace | noun | A heavy club with a spiked metal head; a ceremonial staff.
marauder | noun | A person who raids and plunders.
mariner | noun | A sailor.
maroon | verb | To leave someone trapped and isolated in an inaccessible place.
mercenary | noun | A professional soldier hired to serve in a foreign army.
midshipman | noun | A naval cadet.
minesweeper | noun | A warship equipped to detect and destroy mines.
moat | noun | A deep, wide ditch surrounding a castle, filled with water.
musketeer | noun | A soldier armed with a musket.
mutiny | noun | An open rebellion against authority, especially by soldiers or sailors.
paratrooper | noun | A soldier trained to be dropped by parachute.
parapet | noun | A low protective wall along the edge of a roof or bridge.
periscope | noun | An apparatus of mirrors for viewing objects above the line of sight.
pikeman | noun | A soldier armed with a pike.
pillage | verb | To rob a place using violence, especially in wartime.
plunder | verb | To steal goods from a place, typically using force.
portcullis | noun | A strong heavy grating that can be lowered to block a gateway.
privateer | noun | An armed private ship authorized to capture merchant shipping.
quartermaster | noun | A military officer responsible for provisions.
rampart | noun | A defensive wall of a castle or walled city.
reconnaissance | noun | Military observation of a region to locate an enemy.
redcoat | noun | A British soldier, especially during the American Revolution.
regiment | noun | A permanent unit of an army.
rigging | noun | The system of ropes supporting a ship's masts and sails.
saber | noun | A heavy cavalry sword with a curved blade.
samurai | noun | A member of a powerful military caste in feudal Japan.
schooner | noun | A sailing ship with two or more masts.
scimitar | noun | A short sword with a curved blade.
scuttle | verb | To sink one's own ship deliberately; to run hurriedly.
shipwreck | noun | The destruction of a ship at sea.
