invasion | noun | An entry by an army into another country.
invent | verb | To create something that did not exist before.
invention | noun | A thing newly devised; the act of inventing.
inventor | noun | A person who invents things.
invest | verb | To put money into something to earn a return.
invisible | adjective | Unable to be seen.
invite | verb | To ask someone to come or take part.
involve | verb | To include as a necessary part; to draw in.
island | noun | Land surrounded by water.
isolated | adjective | Far from other places or people.
isolation | noun | The state of being apart from others.
italic | adjective | Of sloping type used for emphasis.
itchy | adjective | Having an irritating feeling on the skin.
jacket | noun | A short coat; an outer covering.
jagged | adjective | With rough uneven edges.
jealous | adjective | Resentful of another's advantages.
jelly | noun | A soft set food made with gelatin or fruit.
jewelry | noun | Ornaments such as rings and necklaces.
journey | noun | A trip from one place to another.
jolly | adjective | Cheerful and good-humoured.
jumper | noun | A knitted upper garment; one who jumps.
jungle | noun | Dense tropical forest.
junior | adjective | Younger or of lower rank.
justice | noun | Fair treatment; the administration of law.
kidney | noun | Either of the organs that filter waste from blood.
kindness | noun | The quality of being generous and considerate.
kitchen | noun | A room where food is prepared.
kitten | noun | A young cat.
knitting | noun | Fabric made by looping yarn; the making of it.
knives | noun | More than one knife.
knowledge | noun | Facts and skills gained by experience or study.
ladder | noun | A set of rungs between two uprights for climbing.
landscape | noun | The visible features of an area of land.
language | noun | The system of words a people use.
latitude | noun | Distance north or south of the equator; freedom to act.
laugh | verb | To make the sounds that express amusement.
laughter | noun | The sound of laughing.
launch | verb | To set a boat in the water; to start something new.
laundry | noun | Clothes to be washed; a place where washing is done.
lawyer | noun | A person qualified to advise on the law.
league | noun | A group of teams that compete; an alliance.
leather | noun | Animal skin prepared for use.
legend | noun | A traditional story; an inscription on a map.
length | noun | The measurement from end to end.
lesson | noun | A period of teaching; something learned from experience.
letter | noun | A written message sent by post; a symbol of the alphabet.
liberty | noun | Freedom from control.
library | noun | A collection of books, or the building holding it.
lifetime | noun | The length of a life.
lipstick | noun | A cosmetic stick for colouring the lips.
liquid | noun | A substance that flows freely, like water.
listen | verb | To pay attention to sound.
literary | adjective | Concerning literature.
