# Commerce, transport and the frontier: long-lived words with sharp booms.
frontier | noun | The edge of settled land; the limit of knowledge.
emigrant | noun | A person leaving their country to live elsewhere.
immigrant | noun | A person coming to live in a new country.
steerage | noun | The cheapest quarters on a passenger ship.
passage | noun | A journey by sea; a corridor; a section of text.
oxen | noun | Cattle used to pull loads.
canal | noun | A man-made waterway.
sleeper | noun | A wooden beam supporting rails; a train with beds.
roundhouse | noun | A circular shed where locomotives are turned and kept.
placer | noun | A deposit of gravel containing gold.
sluice | noun | A channel with a gate for controlling water.
marshal | noun | A law officer; a senior military rank.
stockyard | noun | An enclosure where livestock is held before sale.
abattoir | noun | A slaughterhouse.
cannery | noun | A factory where food is sealed into tins.
distillery | noun | A place where spirits are made.
tannery | noun | A place where hides are made into leather.
wharf | noun | A landing place where ships tie up.
dockyard | noun | A place where ships are built or repaired.
shipyard | noun | A yard where ships are constructed.
clipper | noun | A fast sailing ship of the nineteenth century.
blubber | noun | The fat of whales and seals.
guano | noun | Seabird droppings used as fertilizer.
plantation | noun | A large estate growing one crop.
worsted | noun | A smooth yarn or cloth made from long wool.
tallow | noun | Hard animal fat used for candles and soap.
saltpeter | noun | A mineral salt used in gunpowder and curing.
turpentine | noun | A solvent distilled from pine resin.
pipeline | noun | A line of pipes carrying oil, gas or water.
freight | noun | Goods carried in bulk; the charge for carrying them.
tonnage | noun | The carrying capacity of a ship.
customhouse | noun | An office where import duties are collected.
mintage | noun | Coins produced, or the act of coining them.
banknote | noun | A piece of paper money.
speculation | noun | Risky investment in hope of quick profit.
panic | noun | Sudden fear; a rush to sell in a financial crisis.
insurance | noun | A contract paying out against loss.
peddling | noun | The selling of small goods from place to place.
department | noun | A section of an organization or large shop.
franchising | noun | The licensing of a business name and method.
advertising | noun | The business of promoting goods for sale.
