# Types of people, roles, and characters
# word | part of speech | definition
acrobat | noun | An entertainer who performs gymnastic feats.
adventuress | noun | A woman who seeks wealth or position by unscrupulous means.
aeronaut | noun | A traveler in a hot-air balloon, airship, or other flying craft.
alderman | noun | An elected member of a municipal council.
anchorman | noun | A person who presents a live television news program.
archbishop | noun | The chief bishop responsible for an archdiocese.
aviator | noun | A pilot, especially in the early days of aviation.
aviatrix | noun | A female pilot.
bachelor | noun | An unmarried man; a person holding a first university degree.
bandit | noun | A robber or outlaw belonging to a gang.
bartender | noun | A person who mixes and serves drinks at a bar.
beachcomber | noun | A person who searches beaches for articles of value.
beefcake | noun | Attractive men with well-developed muscles.
biker | noun | A motorcyclist, especially one who is a member of a gang.
billionaire | noun | A person with assets worth at least a billion.
blockhead | noun | A stupid person.
bodyguard | noun | A person employed to protect a rich or famous person.
bookworm | noun | A person who enjoys reading very much.
bootblack | noun | A person who polishes boots and shoes.
braggart | noun | A person who boasts about achievements or possessions.
bully | noun | A person who harms or intimidates those they perceive as vulnerable.
busybody | noun | A meddling or prying person.
cameraman | noun | A person who operates a film or television camera.
cardsharp | noun | A person who cheats at cards.
caretaker | noun | A person employed to look after a building.
cavewoman | noun | A prehistoric woman living in caves.
caveman | noun | A prehistoric man living in caves; a crude man.
celebrity | noun | A famous person.
chatterbox | noun | A person who talks at length about trivial matters.
cheapskate | noun | A stingy person.
cheerleader | noun | A person who leads cheers at a sports event; an enthusiastic supporter.
chieftain | noun | The leader of a people or clan.
chorister | noun | A member of a choir.
clown | noun | A comic entertainer in a circus; a playful or silly person.
comedian | noun | An entertainer whose act is intended to make people laugh.
commoner | noun | One of the ordinary or common people.
copywriter | noun | A person who writes the text of advertisements.
cosmonaut | noun | A Russian astronaut.
courtesan | noun | A prostitute with wealthy or upper-class clients.
cowboy | noun | A man who herds cattle on horseback; a reckless operator.
cowgirl | noun | A woman who herds cattle on horseback.
crank | noun | An eccentric person, especially one obsessed with a theory.
crooner | noun | A singer of sentimental songs in a low, smooth voice.
curator | noun | A keeper of a museum or collection.
daredevil | noun | A reckless person who enjoys doing dangerous things.
daydreamer | noun | A person who indulges in pleasant thoughts that distract from the present.
debutante | noun | A young upper-class woman making her first appearance in society.
deejay | noun | A disc jockey.
desperado | noun | A desperate or reckless criminal.
detective | noun | A person whose occupation is to investigate crimes.
doorman | noun | A man employed to stand at the entrance to a building.
dowager | noun | A widow holding a title or property derived from her late husband.
drifter | noun | A person who moves aimlessly from place to place.
drummer | noun | A person who plays a drum; a traveling salesman (dated).
eavesdropper | noun | A person who secretly listens to a conversation.
escapologist | noun | An entertainer who specializes in escaping from confinement.
evangelist | noun | A person who seeks to convert others to Christianity; a zealous advocate.
firebrand | noun | A person passionate about a cause who incites change.
flatfoot | noun | A police officer (dated slang).
freeloader | noun | A person who takes advantage of others' generosity.
fugitive | noun | A person who has escaped from captivity or is in hiding.
gadfly | noun | A fly that bites livestock; a person who provokes others.
gambler | noun | A person who gambles.
gangster | noun | A member of a gang of violent criminals.
gatekeeper | noun | An attendant at a gate; a person who controls access.
gentleman | noun | A chivalrous, courteous, or honorable man.
gigolo | noun | A young man paid or financially supported by an older woman.
globetrotter | noun | A person who travels widely.
gossip | noun | Casual conversation about other people; a person who likes to talk about others.
gourmand | noun | A person who enjoys eating, often to excess.
grifter | noun | A person who engages in petty or small-scale swindling.
groupie | noun | A fan who follows a band or celebrity.
gunslinger | noun | A man who carries a gun and shoots well.
hitchhiker | noun | A person who travels by getting free lifts in passing vehicles.
hobo | noun | A homeless person; a migrant worker.
homemaker | noun | A person who manages a household.
hothead | noun | An impetuous or quick-tempered person.
housewife | noun | A woman whose main occupation is caring for her family and home.
hustler | noun | An aggressively enterprising person; a swindler.
