rabbi | noun | A Jewish religious leader and teacher.
racetrack | noun | A course on which races are run.
raffle | noun | A lottery with goods as prizes.
railing | noun | A fence of posts and bars.
railway | noun | A track of rails, and the system that runs on it.
ratepayer | noun | A person who pays local property taxes.
rattan | noun | A climbing palm whose stems are used for furniture.
reaper | noun | A person or machine that harvests grain.
rebate | noun | A partial refund of money paid.
recital | noun | A performance by a soloist or small group.
reckoning | noun | The settling of accounts; a calculation.
recruitment | noun | The enrolling of new members or workers.
rectory | noun | The house of a rector.
redoubt | noun | A small enclosed defensive work.
reel | noun | A spool for winding; a lively dance.
referee | noun | An official who enforces the rules of a game.
reformatory | noun | An institution for young offenders.
refrain | noun | A repeated line in a song or poem.
regalia | noun | The emblems and robes of royalty or office.
regatta | noun | A series of boat races.
regency | noun | Rule by a regent while a monarch is absent or young.
regicide | noun | The killing of a king.
registry | noun | An office where official records are kept.
regulation | noun | A rule made by an authority.
rehearsal | noun | A practice for a performance.
relic | noun | An object surviving from the past, often venerated.
reliquary | noun | A container for holy relics.
remedy | noun | A cure for an illness or a wrong.
remittance | noun | Money sent to someone, often from abroad.
renovation | noun | The restoring of a building to good condition.
rental | noun | An amount paid to rent something.
repertory | noun | A company performing a rotating set of plays.
reprieve | noun | A postponement of punishment; a temporary relief.
reprint | noun | A further printing of a book.
reservoir | noun | A lake made to store water.
residency | noun | The place where an official lives; a period of training.
resin | noun | A sticky substance from trees, used in varnish.
restaurant | noun | A place where meals are served to customers.
retailer | noun | A shop or firm selling directly to the public.
retainer | noun | A servant kept by a family; a fee paid to secure services.
retinue | noun | The attendants accompanying an important person.
retort | noun | A sharp reply; a glass vessel used in distilling.
reveille | noun | A morning bugle call to wake soldiers.
revenue | noun | Income, especially that of a state or business.
reverie | noun | A pleasant daydream.
revolver | noun | A pistol with a rotating chamber of bullets.
ribbon | noun | A narrow strip of fabric used for tying or decoration.
rifleman | noun | A soldier armed with a rifle.
riverboat | noun | A boat built for river travel.
riveter | noun | A worker who fastens metal plates with rivets.
roadside | noun | The strip of land beside a road.
robbery | noun | The taking of property by force or threat.
rookery | noun | A colony of rooks or seabirds; a crowded slum.
ropewalk | noun | A long shed where rope is twisted.
rosary | noun | A string of beads used in prayer.
rosewood | noun | A dark tropical hardwood used in fine furniture.
rostrum | noun | A raised platform for speaking.
roundabout | noun | A merry-go-round; a circular road junction.
rowboat | noun | A small boat moved with oars.
royalty | noun | Members of a royal family; a payment to an author or inventor.
rudder | noun | The hinged blade that steers a boat or aircraft.
ruins | noun | The remains of a building that has fallen.
runaway | noun | A person or animal that has fled.
sachet | noun | A small scented bag; a sealed packet.
sacrament | noun | A solemn religious rite.
safeguard | noun | A measure taken to prevent harm.
sailcloth | noun | Strong canvas used for sails.
sailmaker | noun | A person who makes and repairs sails.
sailor | noun | A person who works on a ship.
saltworks | noun | A place where salt is produced.
salutation | noun | A greeting, spoken or written.
salvage | noun | The rescue of property from loss, and the goods rescued.
samovar | noun | A Russian urn for heating water for tea.
sampler | noun | A piece of embroidery showing stitches; a selection.
sanctuary | noun | A holy place; a refuge for people or wildlife.
sandalwood | noun | A fragrant wood used for carving and oil.
sarcophagus | noun | A stone coffin, often carved.
sash | noun | A band worn over the shoulder or waist; a window frame.
sawmill | noun | A mill where logs are cut into planks.
saxophone | noun | A brass wind instrument with a reed.
scaffold | noun | A raised platform for builders or executions.
scandal | noun | An action causing public outrage.
scarcity | noun | A shortage of something needed.
scepter | noun | An ornamented rod carried as a symbol of rule.
schoolmaster | noun | A male teacher in a school.
scientist | noun | A person who studies or practises science.
scribe | noun | A person who copied documents by hand.
scrimshaw | noun | Carving done by sailors on bone or ivory.
sculpture | noun | Art made by carving or modelling.
scythe | noun | A long curved blade for cutting grass by hand.
seafarer | noun | A person who travels by sea.
seaport | noun | A town with a harbour for seagoing ships.
seclusion | noun | The state of being kept apart from others.
sectarian | adjective | Concerning the divisions between religious groups.
sediment | noun | Matter that settles to the bottom of a liquid.
seedling | noun | A young plant grown from seed.
seminary | noun | A college training priests or ministers.
senate | noun | The upper house of a legislature.
sentinel | noun | A guard posted to keep watch.
