marketplace | noun | An open space where a market is held.
marquee | noun | A large tent for an event; a canopy over an entrance.
marshland | noun | Low wet ground.
masonry | noun | Stonework, and the craft of building with stone.
massacre | noun | The killing of many people at once.
masthead | noun | The top of a ship's mast; a newspaper's title block.
matron | noun | A senior nurse; a married woman of settled position.
maxim | noun | A short saying expressing a general truth.
mechanic | noun | A person who repairs machines.
medallion | noun | A large medal; a round ornamental panel.
memorandum | noun | A written note recording something for later.
menial | adjective | Requiring little skill and lacking status.
mercantile | adjective | Concerning trade and merchants.
meridian | noun | A line of longitude; the highest point reached.
messenger | noun | A person who carries a message.
metallurgy | noun | The science of extracting and working metals.
metropolis | noun | A large and important city.
mezzanine | noun | A low floor between two main storeys.
militiaman | noun | A member of a citizen fighting force.
millpond | noun | A pool of water held back to drive a mill.
millwright | noun | A person who builds and repairs mills and machinery.
mimicry | noun | The close imitation of another's speech or ways.
miniature | noun | A very small painting or copy.
minstrelsy | noun | The art and performances of minstrels.
monogram | noun | A design made from a person's initials.
monoplane | noun | An aeroplane with a single pair of wings.
monument | noun | A structure raised to keep a memory alive.
moorland | noun | Open uncultivated upland covered with heather.
morgue | noun | A place where bodies are kept before burial.
mortar | noun | A mixture binding bricks; a short heavy gun; a bowl for grinding.
mourner | noun | A person who attends a funeral in grief.
muffler | noun | A scarf; a device deadening engine noise.
munitions | noun | Military weapons and ammunition.
muralist | noun | A painter of pictures on walls.
muster | noun | A gathering of troops for inspection.
nabob | noun | A person of great wealth, especially one enriched abroad.
naturalization | noun | The granting of citizenship to a foreigner.
navigator | noun | A person who plots a ship's or aircraft's course.
necktie | noun | A strip of cloth knotted at the collar.
newsboy | noun | A boy who sells or delivers newspapers.
newsprint | noun | The cheap paper newspapers are printed on.
nightgown | noun | A loose garment worn in bed.
nitrate | noun | A salt used in fertilizer and explosives.
nobility | noun | The aristocracy; greatness of character.
novelty | noun | The quality of being new; a small cheap toy.
nunnery | noun | A convent of nuns.
oarsman | noun | A man who rows a boat.
oath | noun | A solemn promise; a swear word.
observation | noun | The watching of something closely; a remark.
offal | noun | The internal organs of an animal used as food.
officialdom | noun | Officials collectively, and their way of working.
oilcloth | noun | Cloth treated to make it waterproof.
oilfield | noun | An area where oil is extracted.
ointment | noun | A greasy preparation rubbed on the skin.
oligarchy | noun | Rule by a small privileged group.
operator | noun | A person who works a machine or connects calls.
orchestra | noun | A large group of musicians playing together.
ordinance | noun | A rule made by an authority.
ornament | noun | A decorative object.
osteopathy | noun | The treatment of illness by manipulating bones and muscles.
outfitter | noun | A shop supplying clothes or equipment.
outlay | noun | An amount of money spent.
overcoat | noun | A long warm coat worn over other clothes.
overseer | noun | A person who supervises workers.
oxcart | noun | A cart drawn by oxen.
paddock | noun | A small field where horses are kept.
padlock | noun | A detachable lock with a hinged shackle.
pageant | noun | A public show of scenes from history.
painkiller | noun | A medicine that relieves pain.
palanquin | noun | A covered litter carried on poles.
palisade | noun | A fence of pointed stakes.
paperback | noun | A book bound in stiff paper.
papermill | noun | A factory where paper is made.
parcel | noun | A wrapped package; a piece of land.
parchment | noun | Prepared animal skin used for writing.
parishioner | noun | A person living in a parish.
parole | noun | The release of a prisoner on promise of good conduct.
parquet | noun | Flooring of wooden blocks laid in a pattern.
partition | noun | A dividing wall; the division of a country.
pasteurization | noun | The heating of milk to kill harmful germs.
pastorate | noun | The office or term of a pastor.
patchwork | noun | Needlework of pieces sewn together; a mixture.
patrician | noun | A member of a noble or ruling family.
patrol | noun | A group that moves about guarding an area.
pauper | noun | A very poor person, once one supported by the parish.
pavilion | noun | A building at a sports ground; a large ornamental tent.
paymaster | noun | An official who pays wages, especially in the forces.
peasantry | noun | Country people who work the land.
