# Animals, plants, nature, and weather
# word | part of speech | definition
aardvark | noun | A nocturnal burrowing African mammal that eats ants and termites.
albatross | noun | A very large oceanic bird; a burden or encumbrance.
alligator | noun | A large semiaquatic reptile similar to a crocodile.
alpaca | noun | A long-haired domesticated South American mammal related to the llama.
anaconda | noun | A very large snake of the boa family, native to South America.
anteater | noun | A mammal that feeds on ants and termites with a long sticky tongue.
armadillo | noun | A burrowing mammal with a body covered in bony plates.
avalanche | noun | A mass of snow falling rapidly down a mountainside.
axolotl | noun | A Mexican salamander that retains its larval form throughout life.
baboon | noun | A large Old World monkey with a long doglike snout.
badger | noun | A heavily built burrowing mammal with a black-and-white striped head.
barnacle | noun | A marine crustacean that attaches itself permanently to surfaces.
barracuda | noun | A large, predatory tropical marine fish.
bison | noun | A wild ox with a humped back and shaggy hair.
blizzard | noun | A severe snowstorm with high winds.
blobfish | noun | A deep-sea fish with a gelatinous body.
bobcat | noun | A small North American wild cat with a short tail.
bonobo | noun | A chimpanzee-like ape native to the Congo.
buzzard | noun | A large bird of prey.
capybara | noun | The largest rodent, native to South America.
caribou | noun | The North American reindeer.
cassowary | noun | A very large flightless bird native to New Guinea and Australia.
centipede | noun | An arthropod with a long body and many pairs of legs.
chameleon | noun | A lizard that can change color; a person who changes opinions to suit.
cheetah | noun | A large, slender, spotted wild cat, the fastest land animal.
chickadee | noun | A small North American songbird.
chinchilla | noun | A small South American rodent with soft gray fur.
chipmunk | noun | A burrowing ground squirrel with light and dark stripes.
cicada | noun | An insect known for the loud shrill sound the males make.
cockroach | noun | A beetle-like scavenging insect, often a household pest.
condor | noun | A very large vulture of the Americas.
cormorant | noun | A large diving seabird with a long neck and hooked bill.
coyote | noun | A wild dog native to North America.
crocodile | noun | A large predatory semiaquatic reptile.
cuckoo | noun | A bird known for laying eggs in other birds' nests; a crazy person.
cyclone | noun | A system of winds rotating inward to an area of low pressure.
dandelion | noun | A weed with bright yellow flowers followed by fluffy seed heads.
dingo | noun | A wild dog of Australia.
dodo | noun | An extinct flightless bird of Mauritius; an old-fashioned person.
dolphin | noun | A small gregarious toothed whale with a beaklike snout.
dragonfly | noun | A fast-flying insect with a long body and two pairs of wings.
dromedary | noun | A one-humped camel.
dugong | noun | A large marine mammal related to the manatee.
earthworm | noun | A burrowing annelid worm living in soil.
earwig | noun | A small insect with pincers at the end of its abdomen.
echidna | noun | A spiny egg-laying mammal of Australia and New Guinea.
eel | noun | A snakelike fish.
emu | noun | A large flightless Australian bird.
ferret | noun | A domesticated polecat used for catching rabbits.
firefly | noun | A beetle that emits light.
flamingo | noun | A wading bird with pink plumage and long legs.
gazelle | noun | A small, graceful antelope.
gecko | noun | A nocturnal lizard with adhesive feet.
gerbil | noun | A small burrowing rodent often kept as a pet.
gibbon | noun | A small, slender tree-dwelling ape.
