# Curious and evocative nouns
# word | part of speech | definition
aftermath | noun | The consequences or aftereffects of a significant unpleasant event.
airhead | noun | A silly or foolish person.
ampersand | noun | The sign &, standing for "and."
apocrypha | noun | Writings or statements of doubtful authenticity.
armageddon | noun | A final battle between good and evil; a catastrophic conflict.
asterisk | noun | A symbol (*) used as a pointer to an annotation.
backlash | noun | A strong negative reaction by a large number of people.
backwater | noun | A place or condition in which no development or progress is occurring.
bagatelle | noun | A game of rolling balls on a board; a thing of little importance.
bandwidth | noun | A range of frequencies; the capacity to deal with a situation.
bargain | noun | A thing bought for less than its true value; an agreement.
bedrock | noun | Solid rock underlying loose deposits; the fundamental principles.
beeline | noun | A straight line between two places.
birthright | noun | A particular right one has by birth.
blackout | noun | A failure of electrical power; a temporary loss of consciousness.
blueprint | noun | A design plan or other technical drawing.
bombshell | noun | An overwhelming surprise or disappointment; a very attractive woman.
bottleneck | noun | The neck of a bottle; a point of congestion.
brainstorm | noun | A spontaneous group discussion to produce ideas; a sudden clever idea.
breakthrough | noun | A sudden, dramatic, and important discovery or development.
brinkmanship | noun | Pushing dangerous events to the brink of disaster to achieve an advantage.
buzzword | noun | A word or phrase that is fashionable at a particular time.
cahoots | noun | Colluding or conspiring together secretly.
catchphrase | noun | A well-known sentence or phrase associated with a particular person.
catnip | noun | A plant with a scent attractive to cats; something very appealing.
checkmate | noun | A position in chess in which a king is trapped; a final defeat.
cliffhanger | noun | A dramatic ending that leaves an audience in suspense.
clockwork | noun | A mechanism with a spring and toothed gearwheels; perfect regularity.
cloudburst | noun | A sudden violent rainstorm.
comeback | noun | A return by a well-known person to a previous position; a quick reply.
countdown | noun | An act of counting numerals in reverse order to zero.
crossroads | noun | An intersection of two or more roads; a point where a crucial decision must be made.
crusader | noun | A person who campaigns vigorously for a cause.
daydream | noun | A series of pleasant thoughts that distract from the present.
deadline | noun | The latest time or date by which something should be completed.
deadlock | noun | A situation in which no progress can be made.
dealbreaker | noun | A factor or issue that would cause someone to abandon a deal.
dilemma | noun | A situation requiring a choice between equally undesirable alternatives.
doghouse | noun | A dog's kennel; a state of disgrace.
domino | noun | Any of 28 small oblong pieces marked with dots.
doohickey | noun | A small object whose name one does not know.
downfall | noun | A loss of power, prosperity, or status.
dragnet | noun | A net drawn through water; a systematic search for criminals.
dreamland | noun | An imagined and unrealistically ideal world.
earworm | noun | A catchy song or tune that runs continually through a person's mind.
eavesdropping | noun | Secretly listening to a conversation.
