package | noun | A parcel; a set of things offered together.
paddle | noun | A short oar used with both hands.
palace | noun | The official home of a monarch or bishop.
parachute | noun | A canopy that slows a fall through the air.
paragraph | noun | A section of writing beginning on a new line.
parallel | adjective | Side by side and always the same distance apart.
parasite | noun | An organism living on another at its expense.
pardon | verb | To forgive; the official release of an offender.
parent | noun | A mother or father.
partial | adjective | Incomplete; favouring one side.
particle | noun | A very small piece of matter.
partner | noun | A person sharing a business or activity.
passion | noun | Very strong feeling; intense enthusiasm.
pasture | noun | Grassland used for grazing.
patience | noun | The ability to wait or endure calmly.
patient | noun | A person receiving medical treatment.
pattern | noun | A repeated decorative design; a model to copy.
pavement | noun | A paved path beside a road.
payment | noun | Money given in return for something.
peaceful | adjective | Free from disturbance; not violent.
peasant | noun | A poor farmer of low social rank.
pebble | noun | A small smooth stone.
pencil | noun | An instrument of wood and graphite for writing.
peninsula | noun | Land almost surrounded by water.
people | noun | Human beings in general; the members of a nation.
pepper | noun | A hot-tasting spice; a sweet or hot vegetable.
percent | noun | A part in every hundred.
perfect | adjective | Having no faults.
perform | verb | To carry out a task; to present an entertainment.
perfume | noun | A fragrant liquid worn on the skin.
perhaps | adverb | Possibly.
period | noun | A length of time; a full stop.
permanent | adjective | Lasting indefinitely.
person | noun | A human being.
personal | adjective | Belonging to a particular person; private.
persuade | verb | To make someone agree by giving reasons.
petal | noun | One of the coloured parts of a flower.
phrase | noun | A small group of words; a short musical passage.
physical | adjective | Of the body; of matter.
picture | noun | A painting, drawing or photograph.
pillar | noun | A tall upright post supporting a structure.
pillow | noun | A cushion supporting the head in bed.
plaster | noun | A paste that hardens on walls; a dressing for wounds.
plastic | noun | A light synthetic material that can be moulded.
playful | adjective | Fond of games and fun.
pleasant | adjective | Giving a sense of enjoyment.
please | verb | To give satisfaction to.
pleasure | noun | A feeling of happy satisfaction.
plenty | noun | A large or sufficient amount.
plunge | verb | To fall or dive suddenly.
plural | adjective | Of more than one in number.
pocket | noun | A small bag sewn into clothing.
poetic | adjective | Of or like poetry.
police | noun | The civil force keeping public order.
policy | noun | A course of action adopted by a body; an insurance contract.
polish | verb | To rub to make smooth and shiny.
polite | adjective | Showing good manners.
political | adjective | Concerning government and public affairs.
pollen | noun | Fine powder produced by flowers.
pollute | verb | To make dirty or harmful with waste.
portion | noun | A part of a whole; a helping of food.
position | noun | A place where something is; a job; a point of view.
positive | adjective | Certain; constructive; greater than zero.
