# Food and drink
# word | part of speech | definition
absinthe | noun | A potent green anise-flavored liqueur made with wormwood.
acai | noun | A small dark purple berry from a South American palm.
aioli | noun | Mayonnaise seasoned with garlic.
amaretto | noun | An almond-flavored Italian liqueur.
ambrosia | noun | The food of the gods; something very pleasing to taste.
anchovy | noun | A small, strongly flavored fish of the herring family.
applesauce | noun | A purée of stewed apples; nonsense (dated slang).
arugula | noun | A peppery salad green; rocket.
avocado | noun | A pear-shaped fruit with a rough skin and smooth, oily green flesh.
bagel | noun | A dense bread roll shaped like a ring.
baguette | noun | A long, narrow French loaf.
baklava | noun | A dessert of phyllo pastry filled with nuts and soaked in honey.
bannock | noun | A round, flat loaf, typically unleavened.
barbecue | noun | A meal or gathering at which food is grilled outdoors.
biryani | noun | A South Asian dish of spiced rice with meat or vegetables.
biscotti | noun | Small, crisp, twice-baked Italian biscuits.
blancmange | noun | A sweet opaque gelatinous dessert made with cornflour and milk.
blintz | noun | A thin rolled pancake filled with cheese or fruit.
bologna | noun | A large smoked sausage made of mixed meats.
bonbon | noun | A piece of candy.
borscht | noun | A beetroot soup of Eastern European origin.
bouillabaisse | noun | A rich spicy fish stew from Provence.
bratwurst | noun | A type of fine German pork sausage.
brioche | noun | A light, sweet yeast bread rich in butter and eggs.
brisket | noun | Meat cut from the breast of an animal.
broccoli | noun | A green vegetable with a thick stalk and dense florets.
brownie | noun | A small square of rich chocolate cake; a helpful household goblin.
bruschetta | noun | Toasted Italian bread drizzled with olive oil and toppings.
buttermilk | noun | The slightly sour liquid left after butter has been churned.
cannoli | noun | Sicilian pastry tubes filled with sweetened ricotta.
cappuccino | noun | Espresso coffee topped with steamed milk foam.
casserole | noun | A dish cooked slowly in an oven in a deep covered dish.
cassoulet | noun | A French stew of meat and white beans.
caviar | noun | The pickled roe of sturgeon, eaten as a delicacy.
ceviche | noun | A dish of raw fish marinated in citrus juice.
chai | noun | Tea, especially spiced tea made with milk.
champagne | noun | A sparkling white wine from Champagne, France.
chardonnay | noun | A variety of white wine grape; wine made from it.
chowder | noun | A rich soup typically containing fish or clams, milk, and potatoes.
chutney | noun | A spicy condiment of fruits or vegetables with vinegar and sugar.
ciabatta | noun | A flat, open-textured Italian bread made with olive oil.
