# Materials, fabrics, gems, minerals, colors, and measures
# word | part of speech | definition
acrylic | noun | A synthetic resin used in paints, plastics, and textiles.
agate | noun | An ornamental stone of banded chalcedony.
alabaster | noun | A fine-grained translucent form of gypsum.
amethyst | noun | A precious stone of violet or purple quartz.
aquamarine | noun | A light bluish-green variety of beryl; its color.
auburn | adjective | A reddish-brown color, used chiefly of hair.
azure | adjective | Bright blue like a cloudless sky.
bakelite | noun | An early form of brittle plastic.
bitumen | noun | A black viscous mixture of hydrocarbons, such as asphalt.
brocade | noun | A rich fabric woven with a raised pattern.
bushel | noun | A measure of capacity for dry goods equal to eight gallons.
calico | noun | A type of cotton cloth, typically printed.
cambric | noun | A fine, dense cloth, originally linen.
carat | noun | A unit of weight for precious stones.
cashmere | noun | Fine soft wool from a breed of Himalayan goat.
cellophane | noun | A thin transparent wrapping material made from viscose.
celluloid | noun | A transparent plastic formerly used for cinematographic film; films as a genre.
cerulean | adjective | Deep blue like a clear sky.
chartreuse | noun | A pale green or yellow liqueur; its color.
chenille | noun | A tufty, velvety cord or yarn.
chiffon | noun | A light, sheer fabric of silk or nylon.
chintz | noun | Printed multicolored cotton fabric with a glazed finish.
cinnabar | noun | A bright red mineral; a vermilion color.
cobalt | noun | A hard silvery-white metal; a deep blue pigment.
corduroy | noun | A thick cotton fabric with velvety ribs.
cubit | noun | An ancient measure of length based on the forearm.
cudgel | noun | A short thick stick used as a weapon.
damask | noun | A figured woven fabric with a pattern visible on both sides.
denim | noun | A hard-wearing cotton twill fabric, typically blue.
dram | noun | A small drink of spirits; a unit of weight.
ebony | noun | Heavy dark wood from a tropical tree; a very dark color.
emerald | noun | A bright green precious stone.
fathoms | noun | Units of length equal to six feet, used for water depth.
fiberglass | noun | A reinforced plastic material composed of glass fibers.
fuchsia | noun | A shrub with pendulous flowers; a vivid purplish-red color.
furlong | noun | An eighth of a mile.
fustians | noun | Thick durable twilled cloths.
gabardine | noun | A smooth durable twill-woven cloth.
garnet | noun | A precious stone of deep red; a dark red color.
gingham | noun | Lightweight plain-woven cotton cloth with a checked pattern.
gossamers | noun | Fine, filmy substances like cobwebs.
gunmetal | noun | A gray corrosion-resistant bronze; a dull bluish-gray color.
hemp | noun | The cannabis plant, especially grown for its fiber.
indigo | noun | A tropical plant yielding dark blue dye; a dark blue color.
iridescent | adjective | Showing luminous colors that seem to change when seen from different angles.
jasper | noun | An opaque reddish-brown variety of chalcedony.
jute | noun | Rough fiber from a plant, used for sacking and rope.
khaki | noun | A dull brownish-yellow color; a fabric of this color.
lacquer | noun | A liquid made of shellac dissolved in alcohol, used as a varnish.
lapis | noun | Part of "lapis lazuli": a bright blue metamorphic rock.
leagues | noun | Former measures of distance of about three miles.
linoleum | noun | A floor covering made from linseed oil and cork on a canvas backing.
lycra | noun | A trademarked elastic polyurethane fiber.
magenta | noun | A light mauvish-crimson color.
mahogany | noun | Hard reddish-brown timber from a tropical tree.
malachite | noun | A bright green mineral used for decoration.
mauve | noun | A pale purple color.
muslin | noun | Lightweight cotton cloth in a plain weave.
obsidian | noun | A hard, dark, glasslike volcanic rock.
ochre | noun | An earthy pigment ranging from light yellow to brown or red.
onyx | noun | A semiprecious variety of agate with parallel bands.
opal | noun | A gemstone showing many small points of shifting color.
organza | noun | A thin, stiff, transparent dress fabric.
parsec | noun | A unit of distance used in astronomy, about 3.26 light years.
pewter | noun | A gray alloy of tin with copper and antimony.
platinum | noun | A precious silvery-white metal.
plexiglass | noun | A solid transparent plastic.
porcelain | noun | A white vitrified translucent ceramic; china.
puce | noun | A dark red or purple-brown color.
quartz | noun | A hard mineral consisting of silica.
rayon | noun | A textile fiber made from regenerated cellulose.
russet | adjective | Reddish-brown in color.
sapphire | noun | A transparent precious stone, typically blue.
sepia | noun | A reddish-brown color associated with old photographs.
sequins | noun | Small shiny discs sewn onto clothing as decoration.
shellac | noun | Lac resin used for making varnish.
sienna | noun | A kind of ferruginous earth used as a pigment.
spandex | noun | A type of stretchy polyurethane fabric.
styrofoam | noun | A trademarked kind of expanded polystyrene.
suede | noun | Leather with the flesh side rubbed to make a velvety nap.
taffeta | noun | A fine lustrous silk or similar synthetic fabric.
tartan | noun | A woolen cloth woven in a pattern of colored checks and intersecting lines.
teflon | noun | A trademarked nonstick coating.
terracotta | noun | Unglazed brownish-red earthenware.
tinfoil | noun | Foil made of aluminum or tin.
topaz | noun | A precious stone, typically colorless, yellow, or pale blue.
tourmaline | noun | A mineral used as a gemstone.
turquoise | noun | A semiprecious blue-green stone; its color.
tweed | noun | A rough-surfaced woolen cloth.
twill | noun | A fabric with a surface of diagonal parallel ridges.
ultramarine | noun | A brilliant deep blue pigment.
umber | noun | A natural brown earth used as a pigment.
velcro | noun | A trademarked fastener consisting of hooks and loops.
velour | noun | A plush woven fabric resembling velvet.
vermilion | noun | A brilliant red pigment.
viscose | noun | A viscous solution of cellulose used to make rayon.
wolfram | noun | Tungsten or its ore.
wicker | noun | Pliable twigs plaited to make items such as furniture and baskets.

