# Birds, insects, sea life, dinosaurs, and dog breeds
# word | part of speech | definition
allosaurus | noun | A large bipedal carnivorous dinosaur of the Jurassic period.
anemone | noun | A plant with brightly colored flowers; a sea anemone.
ankylosaurus | noun | A heavily armored dinosaur with a club-like tail.
archaeopteryx | noun | The oldest known fossil bird, with feathers and teeth.
beagle | noun | A small hound with a smooth coat and drooping ears.
blackbird | noun | A thrush of which the male has black plumage.
bloodhound | noun | A large hound with a very keen sense of smell.
bluebottle | noun | A large blowfly with a metallic blue body.
bluejay | noun | A common North American jay (usually "blue jay").
brachiosaurus | noun | A huge herbivorous dinosaur with a long neck.
bulldog | noun | A dog of a sturdy smooth-haired breed with a large head.
butterfly | noun | An insect with large colorful wings.
canary | noun | A small yellow finch, popular as a cage bird.
catbird | noun | A songbird with a catlike mewing call.
caterpillar | noun | The larva of a butterfly or moth.
chihuahua | noun | A very small breed of dog with smooth hair and large eyes.
cockatoo | noun | A crested parrot.
cockerel | noun | A young domestic cock.
cockle | noun | An edible burrowing bivalve mollusk.
collie | noun | A sheepdog of a breed originating in Scotland.
corgi | noun | A short-legged breed of dog with a foxlike head.
crane | noun | A tall long-legged bird; a machine for lifting heavy objects.
crayfish | noun | A freshwater crustacean resembling a small lobster.
cricket | noun | A jumping insect that chirps; a bat-and-ball game.
cuttlefish | noun | A cephalopod mollusk with ten arms and an internal shell.
dachshund | noun | A dog of a short-legged, long-bodied breed.
dalmatian | noun | A dog of a large white short-haired breed with dark spots.
dinosaurs | noun | Prehistoric reptiles of the Mesozoic era.
dragonflies | noun | Fast-flying insects with long bodies.
duckbill | noun | A platypus; a hadrosaur dinosaur.
egret | noun | A heron with white plumage.
falcon | noun | A bird of prey with long pointed wings.
flounder | noun | A small flatfish; to struggle clumsily.
gannet | noun | A large seabird; a greedy person (British).
goldfinch | noun | A brightly colored finch.
goldfish | noun | A small reddish-golden carp kept in ponds and aquariums.
grasshopper | noun | A plant-eating insect with long hind legs for jumping.
greyhound | noun | A dog of a tall, slender breed capable of high speed.
grouse | noun | A game bird with a plump body; a complaint.
guppy | noun | A small freshwater fish popular in aquariums.
haddock | noun | A silvery-gray fish of the cod family.
halibut | noun | A large marine flatfish used as food.
hammerhead | noun | A shark with flattened extensions on the sides of its head.
heron | noun | A large fish-eating wading bird with long legs.
hornet | noun | A large wasp with a severe sting.
husky | noun | A powerful dog of a breed used for pulling sledges.
kingfisher | noun | A brightly colored bird that dives for fish.
krill | noun | Small shrimplike crustaceans eaten by whales.
labrador | noun | A retriever of a breed with a black or yellow coat.
lamprey | noun | An eel-like aquatic vertebrate with a sucker mouth.
lark | noun | A songbird; something done for fun.
leech | noun | A bloodsucking worm; a person who exploits others.
limpet | noun | A marine mollusk with a conical shell that clings to rocks.
lionfish | noun | A venomous fish with long spines.
lovebird | noun | A small African parrot; lovebirds are an affectionate couple.
mackerel | noun | A migratory sea fish with a striped back.
magpie | noun | A black-and-white bird noted for collecting objects; a compulsive collector.
mallard | noun | The most common wild duck.
mastiff | noun | A dog of a large, strong breed with drooping ears.
mayfly | noun | An insect that lives only briefly as an adult.
mockingbird | noun | A bird that mimics the songs of other birds.
mollusk | noun | An invertebrate of a phylum including snails, slugs, and octopuses.
mosquito | noun | A slender insect whose female sucks blood.
moth | noun | A nocturnal insect related to butterflies.
mussel | noun | An edible bivalve mollusk.
nautilus | noun | A cephalopod mollusk with a coiled chambered shell.
newt | noun | A small slender-bodied amphibian.
oriole | noun | A brightly colored songbird.
osprey | noun | A large fish-eating bird of prey.
oyster | noun | A bivalve mollusk, some of which produce pearls.
parrot | noun | A tropical bird with a hooked bill that can mimic speech.
partridge | noun | A short-tailed game bird.
pekingese | noun | A small dog of a breed with long hair and a flat face.
pheasant | noun | A large long-tailed game bird.
pigeon | noun | A stout seed- or fruit-eating bird with a small head.
piranha | noun | A freshwater fish with very sharp teeth.
