# Plants, herbs, spices, gardens, and farming
# word | part of speech | definition
acorn | noun | The fruit of the oak tree.
allspice | noun | The dried aromatic fruit of a Caribbean tree, used as a spice.
aloe | noun | A succulent plant whose gel is used to soothe the skin.
anise | noun | A plant cultivated for its aniseed.
artichoke | noun | A plant whose unopened flower head is eaten as a vegetable.
asparagus | noun | A plant whose young shoots are eaten as a vegetable.
aubergine | noun | An eggplant (British).
azalea | noun | A deciduous flowering shrub.
begonia | noun | A plant with brightly colored flowers.
beetroot | noun | The edible dark red root of a beet.
blackberry | noun | An edible soft fruit; a trademarked early smartphone.
bluebell | noun | A woodland plant with clusters of blue bell-shaped flowers.
bonsai | noun | The art of growing ornamental, artificially dwarfed trees.
boysenberry | noun | A large red edible blackberry-like fruit.
bramble | noun | A prickly scrambling shrub, especially a blackberry.
camellia | noun | An evergreen shrub with showy flowers.
cantaloupe | noun | A small round melon with orange flesh.
cardamom | noun | The aromatic seeds of a plant of the ginger family, used as a spice.
carnation | noun | A double-flowered cultivated pink.
cauliflower | noun | A cabbage with a large flower head of small creamy-white buds.
cayenne | noun | A pungent, hot-tasting red powder from dried chilies.
chamomile | noun | An aromatic plant whose flowers are used in herbal tea.
chervil | noun | A plant of the parsley family used as a culinary herb.
chickpea | noun | A round yellowish edible seed of a leguminous plant.
chrysanthemum | noun | A plant with brightly colored ornamental flowers.
cilantro | noun | The leaves of the coriander plant.
cinnamon | noun | An aromatic spice made from the dried bark of a tree.
clematis | noun | A climbing plant with showy flowers.
cornucopia | noun | A symbol of plenty consisting of a goat's horn overflowing with produce.
cranberry | noun | A small, red, acid berry.
cumin | noun | The aromatic seeds of a plant of the parsley family, used as a spice.
cypress | noun | A coniferous tree with small dark green leaves.
dahlia | noun | A plant with brightly colored flowers.
durian | noun | A tropical fruit with a strong odor and a spiny rind.
eggplant | noun | A large egg-shaped purple fruit eaten as a vegetable.
elderberry | noun | The berry of the elder tree.
eucalyptus | noun | A fast-growing evergreen Australian tree.
fennel | noun | An aromatic plant with yellow flowers and edible seeds and bulbs.
foxglove | noun | A tall plant with tubular flowers, the source of digitalis.
gardenia | noun | A tree or shrub with large fragrant white flowers.
geranium | noun | A herbaceous plant with showy flowers.
ginkgo | noun | A deciduous Chinese tree with fan-shaped leaves.
gooseberry | noun | A round edible yellowish-green berry.
gourd | noun | A fleshy fruit with a hard skin, often used as a container.
grapefruit | noun | A large round yellow citrus fruit with an acid juicy pulp.
guava | noun | An edible pale orange tropical fruit.
hawthorn | noun | A thorny shrub or tree of the rose family.
haystack | noun | A packed pile of hay.
heather | noun | A purple-flowered Eurasian heath.
hemlock | noun | A highly poisonous plant of the parsley family; a coniferous tree.
hibiscus | noun | A plant with large brightly colored flowers.
honeysuckle | noun | A climbing shrub with fragrant flowers.
horseradish | noun | A plant whose pungent root is used as a condiment.
hyacinth | noun | A bulbous plant with dense spikes of fragrant flowers.
hydrangea | noun | A shrub with large heads of white, blue, or pink flowers.
jackfruit | noun | A very large edible fruit of a tropical Asian tree.
jasmine | noun | A shrub or climbing plant with fragrant flowers.
jicama | noun | The crisp white-fleshed edible tuber of a Central American plant.
juniper | noun | An evergreen shrub whose berries are used to flavor gin.
kohlrabi | noun | A cabbage with an edible turnip-like swollen stem.
kudzu | noun | A quick-growing East Asian climbing plant, invasive in the southern US.
lemongrass | noun | A tropical grass with a lemony flavor used in cooking.
lentil | noun | A high-protein pulse dried and soaked before cooking.
lilac | noun | A shrub with fragrant violet, pink, or white blossoms.
lychee | noun | A small rounded fruit with sweet white flesh and a rough red skin.
magnolia | noun | A tree or shrub with large showy flowers.
mandrake | noun | A Mediterranean plant with a forked root, once thought to have magical powers.
mango | noun | A fleshy oval yellowish-red tropical fruit.
marigold | noun | A plant with yellow or orange flowers.
marjoram | noun | An aromatic plant of the mint family, used in cooking.
mistletoe | noun | A parasitic plant with white berries, used as a Christmas decoration.
mulberry | noun | A dark red or white fruit resembling the loganberry.
nasturtium | noun | A trailing plant with round leaves and bright orange flowers.
nectarine | noun | A variety of peach with smooth skin.
nutmeg | noun | The hard aromatic seed of a tropical tree, used as a spice.
okra | noun | A plant with long ridged seed pods eaten as a vegetable.
oleander | noun | A poisonous evergreen shrub with clusters of flowers.
orchid | noun | A plant with complex, showy flowers.
oregano | noun | An aromatic plant with leaves used as a culinary herb.
paprika | noun | A powdered spice made from dried red peppers.
papaya | noun | A tropical fruit shaped like an elongated melon.
parsley | noun | A biennial plant with crinkly leaves used as a culinary herb.
parsnip | noun | A long tapering cream-colored root vegetable.
passionfruit | noun | The edible purple fruit of a passionflower.
peony | noun | A plant with showy flowers.
peppermint | noun | A plant of the mint family grown for its oil; a candy flavored with it.
persimmon | noun | An edible fruit resembling a large tomato.
petunia | noun | A plant with brightly colored funnel-shaped flowers.
pineapple | noun | A large juicy tropical fruit with a tough segmented skin.
pistachio | noun | An edible pale green seed.
plantain | noun | A starchy banana-like fruit.
pomegranate | noun | An orange-sized fruit with a tough reddish outer skin and many seeds.
primrose | noun | A plant with pale yellow flowers.
quince | noun | A hard, acid pear-shaped fruit used in preserves.
radicchio | noun | A variety of chicory with dark red leaves.
raspberry | noun | An edible soft fruit; a rude sound made with the tongue and lips.
rhododendron | noun | A shrub with large clusters of bell-shaped flowers.
rosemary | noun | An evergreen aromatic shrub used as a culinary herb.
rutabagas | noun | Large yellow-fleshed root vegetables.
saffron | noun | An orange-yellow spice made from crocus stigmas.
scallion | noun | A long-necked onion with a small bulb.
scarecrows | noun | Figures set up to scare birds away from crops.
shallot | noun | A small onion-like bulb.
snapdragons | noun | Plants with flowers that open like a mouth.
sorghum | noun | A cereal grown for grain and syrup.
soybean | noun | A legume grown for its seeds, which are used as food.
sycamore | noun | A large deciduous tree.
tangerine | noun | A small citrus fruit with a loose skin.
tarragon | noun | A perennial plant with narrow aromatic leaves used as a herb.
thistle | noun | A widely distributed plant with prickly leaves.
thyme | noun | A low-growing aromatic plant of the mint family.
topiary | noun | The art of clipping shrubs into ornamental shapes.
tulip | noun | A bulbous spring-flowering plant with cup-shaped flowers.
turmeric | noun | A bright yellow aromatic powder from a plant of the ginger family.
vanilla | noun | A spice from the pods of a tropical orchid; bland or plain.
watermelon | noun | A large melon with smooth green skin and red pulp.
wheatgrass | noun | Young wheat plants juiced as a health food.
wisteria | noun | A climbing shrub with hanging clusters of pale bluish-lilac flowers.
wormwood | noun | A woody shrub with a bitter aromatic taste, used in absinthe.
yam | noun | The starchy tuber of a tropical climbing plant.
yucca | noun | A plant with stiff sword-like leaves.
zinnia | noun | A plant with bright showy flowers.

